Municipalidad,PIA,PIM,Certificacion,Compromiso_Anual,Atencion_Compromiso,Devengado,Girado,Avance,año,pct_ejecucion,distrito_limpio,brecha_inversion
MUNICIPALIDAD DISTRITAL DE ANCON,22785934,29497169,28735715,28107526,28099102,27159626,27141310,92.1,2023,92.1,ANCON,2337543
MUNICIPALIDAD DISTRITAL DE CHACLACAYO,23987776,27922216,26707020,25433888,24541662,24371153,24371153,87.3,2025,87.3,CHACLACAYO,3551063
MUNICIPALIDAD DISTRITAL DE CHACLACAYO,21655676,27899875,26228279,23918411,22725772,22725772,22725772,81.5,2024,81.5,CHACLACAYO,5174103
MUNICIPALIDAD DISTRITAL DE CHACLACAYO,19707646,26566493,25332719,23189873,20669151,20669151,20668540,77.8,2023,77.8,CHACLACAYO,5897342
MUNICIPALIDAD DISTRITAL DE SANTA ROSA,18103354,26320719,24660690,23678665,22065216,21068279,21063279,80.0,2024,80.0,SANTA ROSA,5252440
MUNICIPALIDAD DISTRITAL DE PUCUSANA,21504719,24903790,20586532,20418635,20271099,20011469,20011454,80.4,2024,80.4,PUCUSANA,4892321
MUNICIPALIDAD DISTRITAL DE PUCUSANA,22011668,24324387,12225627,10036282,10035963,7955134,7826002,32.7,2026,32.7,PUCUSANA,16369253
MUNICIPALIDAD DISTRITAL DE PUCUSANA,16595749,23134500,20235157,20173876,20019927,19425981,19425981,84.0,2023,84.0,PUCUSANA,3708519
MUNICIPALIDAD DISTRITAL DE SANTA ROSA,15528019,22641248,17811391,13365628,13106760,9869226,9683125,43.6,2026,43.6,SANTA ROSA,12772022
MUNICIPALIDAD DISTRITAL DE PUCUSANA,18441742,20311577,19297046,19223997,19163789,18715034,18715034,92.1,2025,92.1,PUCUSANA,1596543
MUNICIPALIDAD DISTRITAL DE PUNTA NEGRA,17032311,18177830,17565447,16767234,16664092,15273434,15273434,84.0,2024,84.0,PUNTA NEGRA,2904396
MUNICIPALIDAD DISTRITAL DE PUNTA NEGRA,10421634,17429891,16226651,14263267,14209819,12863023,12855568,73.8,2023,73.8,PUNTA NEGRA,4566868
MUNICIPALIDAD DISTRITAL DE SANTA ROSA,9303150,17302757,17144726,17038885,16787122,14039764,14025425,81.1,2023,81.1,SANTA ROSA,3262993
MUNICIPALIDAD DISTRITAL DE SAN BARTOLO,13700924,15537177,13862430,13079006,13030828,12548097,12548097,80.8,2024,80.8,SAN BARTOLO,2989080
MUNICIPALIDAD DISTRITAL DE PUNTA NEGRA,13971089,15362410,13580808,7854407,7711944,6290548,6106264,40.9,2026,40.9,PUNTA NEGRA,9071862
MUNICIPALIDAD DISTRITAL DE PUNTA NEGRA,12745577,14422814,14106069,13870910,13862812,13733505,13733505,95.2,2025,95.2,PUNTA NEGRA,689309
MUNICIPALIDAD DISTRITAL DE SAN BARTOLO,12444800,13720760,12533364,12359049,12353473,12078452,12078452,88.0,2025,88.0,SAN BARTOLO,1642308
MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL MAR,11728692,13386593,10805423,8747103,5931783,5047012,4831135,37.7,2026,37.7,SANTA MARIA DEL MAR,8339581
MUNICIPALIDAD DISTRITAL DE SAN BARTOLO,11901177,12805048,5549064,5463427,5455374,4240236,4177012,33.1,2026,33.1,SAN BARTOLO,8564812
MUNICIPALIDAD DISTRITAL DE SAN BARTOLO,11301286,12720093,10196891,10115125,10040604,9913257,9898391,77.9,2023,77.9,SAN BARTOLO,2806836
MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL MAR,9871241,11635424,11416408,11390401,10983408,10854971,10854971,93.3,2025,93.3,SANTA MARIA DEL MAR,780453
MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL MAR,9723741,10660468,10219756,10165842,9964336,9914692,9914692,93.0,2024,93.0,SANTA MARIA DEL MAR,745776
MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL MAR,8409807,10066184,8825857,8707616,8225722,8224153,8223353,81.7,2023,81.7,SANTA MARIA DEL MAR,1842031
